acceleration axis x,acceleration axis y,acceleration axis z,timestamp
0,0,960,1683500783
-192,-192,960,1683500832
0,-192,960,1683501009
0,-192,960,1683501189
-192,-192,960,1683501369
0,-192,960,1683501549
-192,-192,-1152,1683501729
-192,-192,-1152,1683501888
0,-384,-960,1683502068
192,-192,-960,1683502248
384,0,768,1683564013
192,0,960,1683564291
192,0,960,1683564468
192,0,960,1683564648
192,192,960,1683564658
12096,12096,12096,1683564836
12096,12096,12096,1683565016
192,-192,960,1683565069
192,-192,960,1683565133
0,0,960,1683565311
-192,-192,-1152,1683567700
-192,0,-960,1683567880
192,-384,-960,1683568060
-192,-576,768,1683568240
0,-384,960,1683568360
-192,-384,768,1683568540
-192,-384,960,1683568734
192,0,-960,1683568871
0,0,-960,1683568873
192,-192,-960,1683568874
0,-192,-1344,1683568875
-192,384,-2112,1683568876
1344,-192,768,1683568877
-576,-384,2688,1683568878
1152,-192,2688,1683568879
576,192,-768,1683568880
576,192,-768,1683568881
384,192,-768,1683568882
576,192,-960,1683568883
-384,576,-384,1683568884
576,576,0,1683568885
192,960,192,1683568886
0,768,192,1683568887
0,768,192,1683568888
384,576,-192,1683568889
384,0,-1152,1683568890
-576,192,1536,1683568891
0,-192,2304,1683568892
0,192,576,1683568893
0,-576,384,1683568894
0,-192,768,1683568895
-192,0,1344,1683568896
192,0,960,1683568897
192,192,960,1683568898
192,0,960,1683568899
192,0,960,1683568900
0,0,960,1683568901
0,0,960,1683568902
192,0,960,1683568906
192,0,960,1683568907
0,0,960,1683568909
192,0,960,1683568910
192,192,960,1683568911
192,0,960,1683568912
192,0,960,1683568913
192,0,960,1683568914
0,0,768,1683568915
0,0,960,1683568916
192,0,960,1683568918
0,192,768,1683568919
192,-192,960,1683568920
192,-192,960,1683568921
192,-192,960,1683568922
192,-192,768,1683568923
192,-192,768,1683568924
192,-192,960,1683568925
192,-192,960,1683568926
192,-192,960,1683568927
192,-192,768,1683568929
192,-192,960,1683568930
384,-192,960,1683568931
384,-192,768,1683568932
384,-192,768,1683568933
384,-192,768,1683568934
384,-192,960,1683568935
384,-192,768,1683568936
384,-192,960,1683568937
384,-192,960,1683568938
384,-192,768,1683568939
384,-192,768,1683568940
384,-192,960,1683568941
384,-192,960,1683568942
384,-192,960,1683568943
384,-192,768,1683568944
384,-192,960,1683568945
